Movie ,Year ,value,Release Date,Production Budget,Domestic Gross,Worldwide Gross,,,,
Inception 3,2021,Elliot Page,"Sep 03, 2012",182022662,390965075,472854836,,,,
Frozen 4,2022,Josh Gad,"Mar 20, 2005",180863875,532972087,1178875334,,,,
Inception 3,2023,Tom Hardy,"Jun 01, 2002",180390285,370085296,1837353420,,,,
Black Panther 1,2020,Chadwick Boseman,"Feb 21, 2027",180385373,242280760,1222176553,,,,
Frozen 2,2000,Kristen Bell,"Jan 30, 2018",179489282,324446353,1464064495,,,,
Inception 1,2017,Joseph Gordon-Levitt,"Sep 20, 2000",178405289,485750007,2389239688,,,,
Avatar 4,2021,Stephen Lang,"Oct 15, 2021",177248591,423854354,1273780077,,,,
Toy Story 1,2015,Annie Potts,"May 22, 2001",177130914,860277569,1386214646,,,,
Titanic 1,2021,Leonardo DiCaprio,"Dec 07, 2010",176962999,626363987,2175024203,,,,
Joker 3,1996,Joaquin Phoenix,"Apr 10, 2004",176907840,310026083,1228540119,,,,
Titanic 2,2016,Kate Winslet,"Oct 09, 1998",176458130,370045605,1980702827,,,,
Avengers 3,2006,Chris Hemsworth ,"Oct 13, 2006",174712432,385688038,2172027614,,,,
The Dark Knight 1,2005,Heath Ledger,"Jun 21, 2007",174428779,85550385,1339190843,,,,
The Dark Knight 2,2017,Morgan Freeman,"Apr 30, 2026",174164269,222247620,548885400,,,,
Interstellar 4,2000,Matthew McConaughey,"Sep 06, 2003",173818114,610808775,863182494,,,,
Inception 2,2013,Leonardo DiCaprio,"Sep 02, 2006",173016934,543710052,2176914043,,,,
The Dark Knight 1,2012,Morgan Freeman,"Mar 22, 2026",172685759,352402769,569406589,,,,
The Dark Knight 2,2005,Michael Caine,"Oct 22, 2025",172674743,200741415,1832372444,,,,
Interstellar 4,2007,Michael Caine,"Sep 20, 1997",171970542,578635197,704915355,,,,
Black Panther 1,2014,Letitia Wright,"Jun 14, 2020",171253072,335083179,2033979212,,,,
The Dark Knight 1,2017,Heath Ledger,"Aug 11, 2017",171095639,282291817,312646620,,,,
Titanic 4,2014,Kate Winslet,"May 02, 2013",170519115,883549250,1664590781,,,,
Interstellar 1,2021,Michael Caine,"Jan 08, 2001",170411804,65430570,1239759200,,,,
Interstellar 2,2006,Matthew McConaughey,"Aug 08, 2016",170291324,555593441,2347053294,,,,
Joker 4,2020,Joaquin Phoenix,"Jan 12, 1998",170202677,573275019,1595683646,,,,
Avengers 4,2024,Robert Downey Jr. ,"Sep 02, 2019",169659293,764816632,1592874297,,,,
Avengers 4,2020,Jeremy Renner ,"Feb 23, 2019",169414608,722116818,2656302457,,,,
Black Panther 2,2016,Danai Gurira,"Feb 29, 1996",169375233,83427312,1900818350,,,,
Frozen 3,2021,Josh Gad,"Jul 01, 2023",168994177,286106190,1031292365,,,,
Avatar 4,1999,Kate Winslet,"Nov 20, 2021",168584311,161692025,239862798,,,,
Avatar 3,1995,Stephen Lang,"Jun 18, 2018",168155166,846130691,2185781103,,,,
The Dark Knight 1,2014,Heath Ledger,"Jun 21, 2009",168090722,672916242,785504991,,,,
The Dark Knight 2,2004,Heath Ledger,"Mar 01, 2021",167194260,448859277,778549249,,,,
The Dark Knight 3,2015,Michael Caine,"Oct 30, 2020",166442771,435342896,1402259646,,,,
The Dark Knight 1,2024,Christian Bale,"Jun 25, 2020",166000707,260744773,415139858,,,,
Joker 1,2005,Joaquin Phoenix,"Dec 16, 2009",165407442,383837723,2186997542,,,,
Interstellar 1,1998,Michael Caine,"Feb 23, 2023",165404179,359093244,780551823,,,,
Joker 1,2009,Joaquin Phoenix,"Mar 21, 2013",165384966,784949991,1767095000,,,,
Inception 2,2004,Ken Watanabe,"Jul 25, 2017",165206953,374823393,1325601900,,,,
Inception 4,2023,Ken Watanabe,"May 13, 2026",164820606,769888916,1195186312,,,,
Joker 3,2005,Joaquin Phoenix,"Oct 12, 2022",164813344,448061220,1291703338,,,,
Interstellar 4,2017,Matthew McConaughey,"Dec 30, 2012",164632900,150276734,1922439214,,,,
Black Panther 1,2014,Lupita Nyong’o,"Oct 23, 2010",164427778,300740765,2111027989,,,,
Interstellar 4,2006,Anne Hathaway,"Sep 09, 2003",164145366,765745654,875176456,,,,
Black Panther 1,2023,Letitia Wright,"Dec 22, 1997",163974056,135107035,179834720,,,,
Toy Story 4,2013,Annie Potts,"Feb 28, 2003",163500704,817375884,2164318711,,,,
Joker 4,2022,Joaquin Phoenix,"Jan 17, 1996",162740542,621459059,1390651818,,,,
Toy Story 4,2018,Annie Potts,"Jun 13, 2026",162385424,866928964,2008359299,,,,
Frozen 2,2011,Jonathan Groff,"Mar 31, 2025",161942833,769532144,1035450893,,,,
Titanic 2,2000,Kate Winslet,"Aug 29, 2004",161860238,554908877,701561779,,,,
Frozen 4,2023,Kristen Bell,"Oct 10, 2003",160986240,177259919,1531196067,,,,
Interstellar 3,2008,Jessica Chastain,"Jul 29, 1996",160928725,108551458,893058415,,,,
Avatar 3,2000,Zoe Saldana,"Nov 09, 1998",160922458,96955390,735214251,,,,
Inception 4,1999,Tom Hardy,"May 23, 2004",160058870,655462503,2078728967,,,,
Toy Story 4,2024,Tim Allen,"Sep 19, 2023",159575649,376283105,1134413214,,,,
Black Panther 2,2015,Michael B. Jordan,"Aug 13, 1999",159468928,669557884,2060938861,,,,
Interstellar 3,2023,Matthew McConaughey,"Apr 28, 2024",159444283,500992875,2475213867,,,,
Avatar 2,2004,Sam Worthington,"Mar 15, 1998",159034539,114382770,1861737330,,,,
Frozen 4,2009,Kristen Bell,"Jan 18, 2009",158567110,850580086,1967258357,,,,
Inception 3,2016,Ken Watanabe,"Mar 15, 2003",156769708,343489540,1415330589,,,,
Avatar 1,2000,Kate Winslet,"Mar 21, 2013",156351256,696089883,796531104,,,,
Interstellar 1,2006,Anne Hathaway,"Jun 14, 2010",156269189,557271776,1742913709,,,,
Inception 1,2007,Leonardo DiCaprio,"Dec 20, 2009",156212869,312094938,1345486804,,,,
Frozen 4,2022,Jonathan Groff,"Apr 21, 2007",156140712,174651793,1111033883,,,,
Black Panther 2,2007,Letitia Wright,"Feb 25, 2004",155280695,162312277,795690894,,,,
Black Panther 4,2011,Lupita Nyong’o,"Jul 04, 1995",155259212,649698126,1450251272,,,,
Inception 3,2013,Joseph Gordon-Levitt,"Jun 17, 2011",154164822,178616536,370471998,,,,
Avengers 4,1998,Mark Ruffalo,"Dec 10, 2020",153905265,337320959,898292665,,,,
Avatar 2,2024,Stephen Lang,"Sep 23, 2007",153820971,259611167,622273848,,,,
Titanic 3,2013,Kate Winslet,"Oct 06, 2014",153671262,575566633,2460655791,,,,
Avatar 3,2013,Sam Worthington,"Apr 08, 2002",153180048,654249460,2178327420,,,,
Black Panther 2,1997,Letitia Wright,"Sep 08, 2007",152912008,679895560,1878006458,,,,
Joker 1,1997,Joaquin Phoenix,"Oct 05, 2014",152409945,228569788,1900745147,,,,
Black Panther 1,2015,Chadwick Boseman,"Jun 03, 2024",152082924,214055080,392089364,,,,
Titanic 2,2009,Kate Winslet,"May 07, 2000",151550545,98322374,811249644,,,,
Interstellar 2,2006,Michael Caine,"Aug 28, 2002",151375338,583415219,2314017377,,,,
Avengers 3,2003,Zoe Saldana,"Dec 12, 2016",151367992,103026746,1946601985,,,,
Titanic 2,1996,Leonardo DiCaprio,"Nov 19, 2005",151344953,675640322,1997811248,,,,
Black Panther 1,2006,Danai Gurira,"Jun 26, 2023",151174615,690867740,1989249995,,,,
Joker 3,2012,Joaquin Phoenix,"Jul 07, 2014",150849580,458458399,2019592608,,,,
Inception 2,2010,Leonardo DiCaprio,"Oct 25, 2014",150547165,221812288,1990213157,,,,
Joker 3,2006,Joaquin Phoenix,"Mar 10, 2020",150391844,846024528,2777053935,,,,
Frozen 3,2024,Idina Menzel,"Mar 24, 2000",150167650,871176637,2243784876,,,,
Inception 1,2008,Elliot Page,"May 07, 2006",150104221,276423444,1418459083,,,,
Interstellar 1,2017,Matthew McConaughey,"Apr 17, 2012",149706001,326833840,1417478365,,,,
Titanic 2,2003,Kate Winslet,"Sep 07, 2009",149119146,854068301,1915731673,,,,
The Dark Knight 1,2007,Gary Oldman,"Feb 26, 2011",148802420,195522380,1626077656,,,,
Titanic 1,2008,Kate Winslet,"Mar 29, 2002",148789629,64767464,75782434,,,,
Joker 2,2024,Joaquin Phoenix,"Aug 27, 2023",148500552,707798811,1448036875,,,,
Black Panther 4,2014,Danai Gurira,"Oct 28, 1995",147468696,818392020,2389069173,,,,
Interstellar 4,1998,Michael Caine,"Sep 17, 1995",147278380,206045761,1025657494,,,,
Avatar 3,2021,Stephen Lang,"Jan 30, 2026",146654040,480484395,850088794,,,,
Frozen 2,2009,Josh Gad,"Jul 22, 2004",146588742,541932442,1524780198,,,,
Joker 2,2016,Joaquin Phoenix,"Jan 19, 2018",146249774,154306584,516795347,,,,
Inception 2,2019,Ken Watanabe,"Mar 24, 1997",146167265,831459567,2148601340,,,,
Avengers 4,2021,Mark Ruffalo,"Aug 08, 2001",145303786,170653685,1574698908,,,,
Avatar 1,2003,Sam Worthington,"Nov 29, 2022",144460721,185288480,1402603316,,,,
Black Panther 2,2014,Michael B. Jordan,"Jan 11, 2001",144283881,714768635,813850239,,,,
Avengers 1,2016,Jeremy Renner ,"Jan 20, 2010",143109929,880271377,2641962603,,,,
Frozen 1,2019,Josh Gad,"Apr 24, 2004",142347260,190848269,617927417,,,,
Toy Story 3,1998,Tom Hanks,"Nov 19, 2020",142214315,359326375,2178321528,,,,
Frozen 1,2016,Jonathan Groff,"Jul 19, 2019",142110712,840613363,2549994599,,,,
Joker 2,1999,Joaquin Phoenix,"May 02, 2016",141526182,783025150,2708213014,,,,
Inception 1,2010,Leonardo DiCaprio,"Oct 14, 2013",141141218,667104098,1878242885,,,,
Inception 3,2024,Ken Watanabe,"Oct 27, 2013",141119894,513565034,2181647391,,,,
Inception 1,2012,Tom Hardy,"Aug 13, 2023",140205781,709759715,2213401578,,,,
Inception 2,2018,Elliot Page,"Feb 14, 2002",139937381,218028254,1279874745,,,,
Interstellar 2,2011,Michael Caine,"Nov 03, 1998",139371017,528634625,1449934325,,,,
The Dark Knight 4,2021,Christian Bale,"May 31, 2014",139337790,249801098,1193272137,,,,
Frozen 4,1999,Josh Gad,"Jan 30, 2013",138828300,694013986,815538851,,,,
Avatar 1,2014,Zoe Saldana,"Oct 03, 2026",138607863,788546096,1739863693,,,,
Titanic 2,2003,Kate Winslet,"Jun 29, 2024",137768760,547687958,1334282743,,,,
Inception 4,2002,Joseph Gordon-Levitt,"Feb 21, 2006",136464861,333056903,2307948310,,,,
Interstellar 1,2017,Jessica Chastain,"Mar 02, 2017",134417098,314453328,542387726,,,,
Avatar 1,1997,Stephen Lang,"Jan 07, 2004",134269447,415437859,1768419300,,,,
Avengers 2,2020,Chris Hemsworth ,"Jun 19, 2004",133880511,439215491,1870907103,,,,
The Dark Knight 2,2021,Christian Bale,"Jan 14, 2006",133685016,400703229,1338807785,,,,
Inception 1,2001,Ken Watanabe,"Mar 29, 2026",133084401,583227180,1687598748,,,,
Inception 2,2003,Elliot Page,"Feb 09, 2004",132651343,623786336,1898686223,,,,
Inception 2,1998,Joseph Gordon-Levitt,"Sep 22, 2014",132299916,899848473,1465521610,,,,
Frozen 4,2002,Idina Menzel,"Oct 27, 2013",131588214,56329011,864197281,,,,
Toy Story 4,2017,Tim Allen,"Aug 30, 2012",131095278,668435428,2118728924,,,,
Avatar 2,2013,Kate Winslet,"Aug 16, 2012",130434287,592016584,1566497906,,,,
Frozen 4,2020,Jonathan Groff,"Dec 16, 2023",130156558,497740382,1246289580,,,,
Inception 4,2023,Leonardo DiCaprio,"Apr 29, 2016",130076468,339740451,1432316481,,,,
Avengers 3,2021,Robert Downey Jr. ,"Jul 29, 1997",129438710,683201946,1523419116,,,,
Avatar 1,2004,Stephen Lang,"Feb 21, 1996",129400313,228978282,1983984334,,,,
Avengers 1,2009,Mark Ruffalo,"Aug 23, 2024",129202693,767374098,1305032820,,,,
Titanic 3,2015,Leonardo DiCaprio,"Dec 26, 2010",129017822,764002438,1164843218,,,,
Titanic 1,2020,Leonardo DiCaprio,"Feb 02, 2000",128516294,84638928,1307689842,,,,
Titanic 1,2005,Kate Winslet,"Sep 28, 2004",128162918,568757182,2293339917,,,,
Frozen 2,2008,Idina Menzel,"Sep 28, 1999",128132395,801487932,2170562774,,,,
Toy Story 2,2014,Annie Potts,"Feb 26, 2017",127252630,588935435,1403944693,,,,
Frozen 3,2004,Idina Menzel,"Mar 18, 2019",126255216,433426064,1490637647,,,,
Joker 2,2017,Joaquin Phoenix,"Nov 01, 2026",125850681,699128926,2110398359,,,,
Joker 4,2017,Joaquin Phoenix,"Sep 04, 2025",125362103,298844572,404866243,,,,
Frozen 2,2002,Kristen Bell,"Aug 19, 2008",124973743,629835157,1126427690,,,,
Frozen 4,2023,Josh Gad,"Jun 30, 2024",124789933,873782411,1831946540,,,,
Avengers 4,2005,Chris Evans ,"Aug 01, 2019",124555769,820724829,1947224949,,,,
Avatar 2,2003,Kate Winslet,"Oct 19, 1997",124410590,498437082,1748207289,,,,
Avatar 2,2019,Stephen Lang,"Aug 14, 2026",124208772,427214512,1994627359,,,,
Toy Story 4,2005,Tom Hanks,"Jun 13, 2013",124103184,626875412,1346452542,,,,
Toy Story 2,2012,Tom Hanks,"Dec 18, 1997",124010877,864521719,1364402450,,,,
Frozen 3,2008,Jonathan Groff,"Mar 11, 2024",123827837,681623580,1434905658,,,,
Avengers 1,2001,Zoe Saldana,"Jan 30, 2005",122944661,312594580,1695648272,,,,
Toy Story 2,2000,Tim Allen,"Mar 25, 2015",122850150,449838459,2214953442,,,,
Frozen 2,1998,Jonathan Groff,"Oct 04, 2014",121920274,447435155,888128656,,,,
Frozen 2,1997,Jonathan Groff,"Aug 30, 2011",121466848,95189446,1516403079,,,,
Toy Story 1,2015,Tom Hanks,"Jun 10, 2017",120412513,59886303,847089420,,,,
Avengers 1,2022,Robert Downey Jr. ,"Mar 10, 2001",119498258,308211242,344024418,,,,
Avatar 4,2016,Stephen Lang,"Oct 16, 2026",118195805,654379747,766174058,,,,
Toy Story 4,2008,Tom Hanks,"Nov 25, 2013",117953319,806638677,2008224641,,,,
Titanic 4,2006,Leonardo DiCaprio,"Nov 19, 2013",117859691,616798318,1223663479,,,,
Interstellar 4,2005,Anne Hathaway,"Jul 28, 2018",117352897,691889975,1210099000,,,,
The Dark Knight 3,1996,Gary Oldman,"Nov 09, 2003",116881829,701742217,1767736407,,,,
The Dark Knight 2,1998,Michael Caine,"Mar 17, 2023",116585451,397191093,480613383,,,,
Inception 3,2000,Leonardo DiCaprio,"Jun 14, 1996",114604283,259125640,2060424921,,,,
Interstellar 2,2016,Anne Hathaway,"Apr 10, 2002",114231207,850345139,1430862733,,,,
The Dark Knight 3,2020,Heath Ledger,"Nov 05, 2003",114130740,343398844,1418312211,,,,
Joker 4,2000,Joaquin Phoenix,"Jun 07, 2027",113363577,61246467,577835362,,,,
Avengers 2,2023,Chris Evans ,"Jan 14, 2027",112241293,820539095,1751399749,,,,
Frozen 4,2015,Jonathan Groff,"Nov 25, 2024",112223167,322964104,1145851628,,,,
Titanic 4,2003,Leonardo DiCaprio,"Sep 30, 1998",111176704,475746725,753514140,,,,
The Dark Knight 1,2011,Morgan Freeman,"Mar 03, 2016",110892235,662159177,2456573877,,,,
Avengers 2,2012,Robert Downey Jr. ,"Oct 20, 2016",110547599,178912442,709539071,,,,
Interstellar 2,2011,Matthew McConaughey,"Aug 23, 2011",110331183,541941748,2310077557,,,,
Avengers 3,1996,Mark Ruffalo,"Jan 12, 2017",110231164,545404086,1045802274,,,,
The Dark Knight 4,2021,Gary Oldman,"Apr 13, 2020",109801596,351305067,1420648661,,,,
Avengers 2,2001,Jeremy Renner ,"Oct 31, 1998",109322961,567158377,960829156,,,,
Frozen 1,2001,Josh Gad,"Apr 26, 2027",108750470,168840117,1517563944,,,,
Toy Story 3,2017,Annie Potts,"May 13, 2019",108162681,670271494,2594868938,,,,
Titanic 3,2017,Leonardo DiCaprio,"Nov 09, 2005",107880387,258324536,1612778410,,,,
Black Panther 1,2009,Michael B. Jordan,"Aug 19, 2009",107841969,687886585,2137501046,,,,
Joker 4,2001,Joaquin Phoenix,"Aug 31, 2009",107649843,831464598,1143980214,,,,
Inception 4,2007,Ken Watanabe,"Jul 05, 2005",107290686,52242558,1603275284,,,,
Frozen 1,2020,Josh Gad,"Jul 19, 2014",106457931,509420000,1499636332,,,,
Frozen 4,2009,Kristen Bell,"Oct 27, 2001",105767381,467915836,1546273943,,,,
The Dark Knight 3,2011,Gary Oldman,"Jan 29, 2013",105627560,75906655,222994420,,,,
Avengers 4,2002,Chris Evans ,"Apr 24, 2004",105480519,495981508,838774489,,,,
Avatar 2,1995,Stephen Lang,"Jan 31, 2016",105080033,602645774,1850453108,,,,
Toy Story 2,2017,Tim Allen,"May 21, 1995",104928875,625460394,1180406403,,,,
The Dark Knight 3,2022,Christian Bale,"Oct 16, 2000",104441498,792206810,2451529424,,,,
Joker 4,2018,Joaquin Phoenix,"Dec 16, 2024",104014959,727585223,1750451634,,,,
Toy Story 3,2003,Annie Potts,"Nov 23, 2021",102408241,147023749,671675604,,,,
Avengers 3,1996,Jeremy Renner ,"Aug 22, 2009",102215321,333878779,960625109,,,,
Avengers 4,1996,Robert Downey Jr. ,"Jan 31, 2011",102094273,546646640,2468279774,,,,
Joker 3,2007,Joaquin Phoenix,"May 26, 2016",101999986,885434093,1965303818,,,,
Inception 3,2004,Tom Hardy,"Mar 10, 2026",101338995,367113227,1770064149,,,,
Inception 2,2001,Leonardo DiCaprio,"Aug 05, 2008",100231563,153958207,483119419,,,,
Toy Story 3,2016,Tom Hanks,"Jun 07, 2004",100206583,351145720,1633191293,,,,
Inception 2,1998,Joseph Gordon-Levitt,"Jul 01, 1999",99691446,323963264,1717916368,,,,
Black Panther 4,2003,Danai Gurira,"Jun 11, 2003",99536976,743834371,1287462940,,,,
Interstellar 4,2006,Jessica Chastain,"Oct 01, 2005",99415707,212620583,1441662219,,,,
Avengers 3,2020,Jeremy Renner ,"Oct 25, 2008",99247551,215304714,823922364,,,,
Joker 3,1998,Joaquin Phoenix,"Jan 15, 2006",97929340,765635050,2540195680,,,,
Avengers 3,2022,Chris Evans ,"Jun 03, 2012",97687004,360085351,1476644773,,,,
Joker 4,2024,Joaquin Phoenix,"Sep 08, 2004",96954231,600830908,1144021181,,,,
Frozen 1,2024,Idina Menzel,"Jul 04, 2012",96930046,669528507,1091486951,,,,
Titanic 2,2019,Leonardo DiCaprio,"Dec 19, 2020",96354498,816422252,1406314822,,,,
Toy Story 1,2009,Tim Allen,"Sep 07, 2017",95522487,645382346,664507826,,,,
Frozen 3,2002,Josh Gad,"Jun 03, 2008",95507429,500527075,1604317857,,,,
Avatar 1,1996,Zoe Saldana,"Oct 01, 2024",94920743,515696522,1692704694,,,,
Avengers 2,2006,Zoe Saldana,"Jan 21, 2024",94270620,863799615,2262968266,,,,
Toy Story 1,2007,Tom Hanks,"Jun 04, 2008",93175465,549653527,1433269388,,,,
Frozen 2,2001,Josh Gad,"Oct 17, 2025",92877951,766722337,1554097542,,,,
The Dark Knight 4,2000,Michael Caine,"Dec 22, 2005",92794135,105461893,1680403439,,,,
The Dark Knight 4,2004,Gary Oldman,"Jun 09, 2022",92626964,468243114,1717285846,,,,
Titanic 1,2016,Leonardo DiCaprio,"Aug 31, 2019",92546054,547573185,1126423365,,,,
Interstellar 4,2009,Anne Hathaway,"Jan 15, 2006",92531204,178523672,1380952819,,,,
Avengers 1,2024,Chris Evans ,"May 25, 2018",92298478,687162835,2171636774,,,,
Avatar 4,2018,Sam Worthington,"Dec 11, 2007",92281687,252960754,598089074,,,,
Interstellar 3,2012,Anne Hathaway,"Sep 26, 2005",91285552,108863532,663448677,,,,
Inception 4,2011,Joseph Gordon-Levitt,"Aug 01, 1998",91259713,428066865,1765699242,,,,
The Dark Knight 1,2018,Gary Oldman,"Sep 11, 2023",90781933,91076894,1829472907,,,,
Toy Story 2,2012,Tom Hanks,"Jun 08, 2023",90573915,354151422,1511719652,,,,
Inception 2,1995,Joseph Gordon-Levitt,"Nov 06, 2015",90435685,268059585,829400501,,,,
Interstellar 1,2003,Matthew McConaughey,"Jul 27, 2014",90157892,646417794,2514106445,,,,
Toy Story 4,2019,Tim Allen,"Aug 18, 2006",89824473,871837594,1021526366,,,,
Titanic 1,2010,Leonardo DiCaprio,"Dec 21, 2021",89664415,782674984,1812548277,,,,
Avengers 2,2001,Zoe Saldana,"Dec 25, 2015",89474049,114795278,1540838039,,,,
Interstellar 2,2001,Jessica Chastain,"Nov 17, 2021",89207369,782525167,2109235806,,,,
Avengers 1,2001,Jeremy Renner ,"Jan 05, 1998",88487642,427535345,833928432,,,,
Joker 4,1996,Joaquin Phoenix,"Feb 16, 2023",87869043,806542153,1341872972,,,,
Avengers 1,2021,Mark Ruffalo,"May 01, 2027",87550120,551165081,825860096,,,,
Avengers 4,2006,Chris Hemsworth ,"Jun 17, 2000",86521896,879851716,962308017,,,,
Frozen 2,2021,Idina Menzel,"Aug 07, 1998",85244303,170074086,2157321887,,,,
Avengers 3,2019,Robert Downey Jr. ,"Feb 16, 2021",85082082,816671601,1750384918,,,,
Inception 3,2013,Joseph Gordon-Levitt,"Jan 26, 2010",84947036,807449504,1947324562,,,,
Joker 1,2010,Joaquin Phoenix,"Jan 28, 2027",84823735,508609982,2030418166,,,,
Interstellar 4,2003,Matthew McConaughey,"May 30, 2023",84808849,100259109,1964286663,,,,
Titanic 3,2004,Kate Winslet,"Dec 23, 2009",84458244,833403702,954674693,,,,
The Dark Knight 3,2020,Michael Caine,"Nov 11, 2001",83605653,318996724,2245561421,,,,
Inception 4,1996,Leonardo DiCaprio,"Mar 24, 2023",83595765,807638302,2523883788,,,,
Frozen 2,2016,Idina Menzel,"Apr 05, 1995",83563426,409634730,512721425,,,,
Joker 2,2006,Joaquin Phoenix,"Jan 28, 2010",83099489,785863292,1465019091,,,,
Black Panther 1,2024,Michael B. Jordan,"Apr 03, 2003",82692744,487866802,766403476,,,,
Titanic 1,2009,Leonardo DiCaprio,"Nov 06, 2014",82608631,209608737,1895147484,,,,
Inception 4,2019,Tom Hardy,"Jan 18, 1999",82436125,612381235,1815578163,,,,
Avengers 1,2018,Mark Ruffalo,"Nov 14, 2010",81936043,508951735,1361882661,,,,
Joker 1,2020,Joaquin Phoenix,"Jul 06, 2004",81756972,350141016,1230030887,,,,
Joker 3,2008,Joaquin Phoenix,"Feb 16, 1997",81186696,184453332,364041014,,,,
Titanic 4,2011,Leonardo DiCaprio,"Mar 31, 2017",80548319,755367022,1136317635,,,,
Interstellar 4,2007,Michael Caine,"Apr 15, 2023",80508888,145110528,867649901,,,,
Black Panther 2,1996,Chadwick Boseman,"Apr 04, 2021",80364713,441506456,2336526137,,,,
The Dark Knight 3,1997,Heath Ledger,"Aug 20, 2023",80181234,457394365,1496416527,,,,
Interstellar 1,2004,Anne Hathaway,"Aug 07, 2009",79844621,309258584,1789701979,,,,
Interstellar 3,2021,Matthew McConaughey,"Jan 12, 1999",79572859,122921020,1275876015,,,,
Inception 3,2014,Leonardo DiCaprio,"Oct 16, 2013",79410203,623580820,1281166543,,,,
The Dark Knight 1,2020,Michael Caine,"Feb 24, 2005",78659987,198375297,1234263209,,,,
Black Panther 3,2013,Chadwick Boseman,"Sep 25, 2008",78387141,580520099,1415138162,,,,
Frozen 1,2020,Jonathan Groff,"Jun 19, 2007",74850158,744866697,1965356208,,,,
Avengers 4,2009,Chris Evans ,"Aug 26, 2014",74268373,511025488,1486436529,,,,
Avatar 3,1996,Zoe Saldana,"May 13, 2023",72846096,511778931,927086096,,,,
Black Panther 1,2003,Chadwick Boseman,"Jun 05, 2004",72553998,286011980,1480254167,,,,
Frozen 2,2019,Kristen Bell,"Jun 10, 2019",72498219,215796240,1550969537,,,,
Titanic 3,2007,Leonardo DiCaprio,"Aug 22, 2026",70938768,449460499,825000907,,,,
Avatar 2,2000,Sam Worthington,"Sep 19, 2015",70678628,127952184,748774493,,,,
Toy Story 1,2020,Tim Allen,"May 16, 2023",70474210,735319401,910239187,,,,
Black Panther 2,2010,Lupita Nyong’o,"Apr 16, 2021",70182728,327651645,660602526,,,,
Titanic 4,2011,Leonardo DiCaprio,"Nov 07, 1996",70139139,608596307,951920786,,,,
Titanic 4,2002,Kate Winslet,"Apr 29, 2001",70057411,298485226,1540532026,,,,
The Dark Knight 4,2011,Morgan Freeman,"Apr 26, 2006",69883233,319703355,628400203,,,,
Titanic 3,2009,Leonardo DiCaprio,"May 13, 1996",68822570,299843762,1434782343,,,,
Titanic 1,2007,Leonardo DiCaprio,"Apr 23, 2000",68548164,845595422,1442415528,,,,
Titanic 1,2012,Leonardo DiCaprio,"Jun 16, 2024",67245943,123585983,1996537487,,,,
Toy Story 1,2002,Annie Potts,"Jan 26, 1997",66861037,311515800,1480082735,,,,
Titanic 3,2014,Kate Winslet,"Sep 30, 2016",66439837,460640050,1631536186,,,,
Avatar 2,2016,Stephen Lang,"Jul 06, 2018",66374778,70046141,1442019236,,,,
Joker 2,2010,Joaquin Phoenix,"Jun 05, 2026",66038347,439156354,715922308,,,,
Titanic 4,2002,Leonardo DiCaprio,"Mar 03, 2023",64733139,611919851,2125056142,,,,
Avatar 1,2024,Stephen Lang,"Oct 05, 2013",64639752,207629240,436414876,,,,
Titanic 1,2024,Leonardo DiCaprio,"Jun 08, 2002",64558190,376076035,648368017,,,,
The Dark Knight 3,1998,Morgan Freeman,"Jan 06, 2006",64334322,847371634,2582415109,,,,
Frozen 3,1995,Kristen Bell,"Jan 19, 1996",63648002,616133194,1668084151,,,,
Black Panther 2,2007,Chadwick Boseman,"Sep 06, 2008",63280400,763079981,2755259311,,,,
Frozen 2,2024,Josh Gad,"Nov 30, 2017",63258730,589680391,1766104017,,,,
Toy Story 2,2003,Tom Hanks,"Mar 17, 2017",62712786,555812758,685903560,,,,
Frozen 4,2014,Jonathan Groff,"Jan 09, 1995",62708034,370764282,729553714,,,,
Titanic 2,2013,Kate Winslet,"Aug 02, 2003",62290929,639785436,1734685330,,,,
The Dark Knight 4,1997,Morgan Freeman,"Nov 15, 1997",61686893,361515755,1132461615,,,,
Inception 3,1998,Tom Hardy,"Apr 28, 2018",61199870,272229379,854026866,,,,
Inception 4,2022,Ken Watanabe,"Sep 10, 1995",61003814,507635190,661475590,,,,
Frozen 4,2014,Josh Gad,"Dec 17, 2008",60807051,840759382,954330374,,,,
Avatar 2,1998,Zoe Saldana,"Apr 14, 2013",60426857,313845792,507031124,,,,
Frozen 2,2013,Idina Menzel,"Dec 26, 2012",60422917,105615847,636181038,,,,
Titanic 1,2011,Kate Winslet,"Nov 12, 2009",60355825,654453977,2469061554,,,,
Titanic 1,2024,Kate Winslet,"Nov 30, 2010",59697202,202210392,1906255925,,,,
Joker 1,2021,Joaquin Phoenix,"Jun 26, 2003",59508360,440837778,1919635784,,,,
Toy Story 1,2004,Annie Potts,"Apr 02, 2004",58669473,562570518,1011484106,,,,
Frozen 3,1996,Jonathan Groff,"Apr 11, 2008",58545122,867200978,1733257769,,,,
Inception 1,2018,Elliot Page,"Oct 02, 1997",57815995,73712591,746220772,,,,
The Dark Knight 3,2023,Christian Bale,"Nov 29, 2006",57608348,736276546,755184063,,,,
Toy Story 2,1999,Annie Potts,"Sep 07, 2014",56268803,310172046,2257068926,,,,
Frozen 1,2010,Jonathan Groff,"Apr 04, 2021",56266290,393207606,941020609,,,,
Toy Story 1,2014,Tom Hanks,"Apr 28, 1997",56017897,772554643,994456728,,,,
Interstellar 4,2008,Matthew McConaughey,"Apr 09, 2010",55131167,413858951,855634003,,,,
